Wall time,Step,Value
1681918415,19110,31.83558464
1681918432,19170,31.83712769
1681918477,19340,31.9132843
1681918504,19440,31.49560165
1681918513,19470,31.58401108
1681918518,19490,32.25985718
1681918567,19670,31.72800827
1681918604,19810,31.79190826
1681918610,19830,32.03918839
1681918658,20010,31.70315742
1681918669,20050,31.66604042
1681918691,20130,32.0218544
1681918737,20300,31.66725731
1681918753,20360,32.12176132
1681918825,20600,32.18438721
1681918860,20730,31.20165062
1681918868,20760,31.13819313
1681918871,20770,31.69620132
1681918877,20790,32.147995
1681918882,20810,32.09550095
1681918893,20850,31.63002777
1681918904,20890,31.71817589
1681918923,20960,32.05272675
1681918963,21110,32.54041672
1681919056,21450,32.25451279
1681919066,21490,31.48047829
1681919085,21560,32.36911011
1681919110,21650,31.4044075
1681919143,21770,31.98199844
1681919170,21870,32.15255356
1681919175,21890,32.11457062
1681919181,21910,32.54867172
1681919194,21960,31.60951233
1681919202,21990,31.10550117
1681919224,22070,31.77786446
1681919235,22110,32.0581131
1681919289,22310,31.89561653
1681919311,22360,31.23602867
1681919313,22370,31.65736389
1681919319,22390,32.28669739
1681919327,22420,32.09264374
1681919338,22460,32.09463882
1681919340,22470,31.70737267
1681919359,22540,31.80184555
1681919367,22570,32.2474823
1681919381,22620,32.17925644
1681919433,22810,31.87181664
1681919460,22910,31.76168442
1681919476,22970,30.96857452
1681919492,23030,31.30147934
1681919503,23070,31.97267532
1681919536,23190,31.94639397
1681919539,23200,31.51989365
1681919607,23450,32.24651718
1681919631,23540,32.03607941
1681919727,23890,31.90906334
1681919729,23900,31.65244484
1681919735,23920,31.48637199
1681919773,24060,31.98690987
1681919862,24360,32.1066246
1681919884,24440,31.68328476
1681919903,24510,31.56751823
1681919908,24530,31.64910507
1681919914,24550,32.3885994
1681919928,24600,31.5166626
1681919996,24850,31.4068222
1681919998,24860,31.79559898
1681920026,24960,32.06930161
1681920031,24980,32.23648834
1681920045,25030,32.02495575
1681920083,25170,31.88783836
1681920099,25230,31.44240952
1681920124,25320,31.16487694
1681920165,25470,31.91133499
1681920176,25510,32.15136337
1681920181,25530,31.09721565
1681920217,25660,31.48152161
1681920249,25780,32.25779724
1681920282,25900,31.54661942
1681920309,26000,31.80011559
1681920326,26060,31.95661926
1681920379,26230,31.43226242
1681920396,26290,31.61074257
1681920398,26300,31.87553024
1681920436,26440,31.68552589
1681920452,26500,31.91475105
1681920465,26550,31.93911362
1681920526,26780,31.53350639
1681920545,26850,31.41158676
1681920558,26900,30.98214149
1681920593,27030,32.34794998
1681920611,27100,31.96195793
1681920651,27250,31.94476891
1681920683,27370,31.58195877
1681920691,27400,31.81944275
1681920728,27540,32.2483902
1681920731,27550,31.85749626
1681920736,27570,31.8653717
1681920821,27890,31.87841415
1681920823,27900,31.91027832
1681920826,27910,31.865242
1681920851,27980,31.81691742
1681920880,28090,31.57196426
1681920920,28240,32.0267334
1681920933,28290,31.97819328
1681921048,28720,31.73332024
1681921071,28810,31.9922924
1681921095,28900,31.59982491
1681921111,28960,31.70280647
1681921122,29000,31.59593391
1681921167,29170,32.53563309
1681921173,29190,32.43106461
1681921175,29200,32.09382248
1681921301,29670,32.03553391
1681921322,29750,32.41646194
1681921389,29980,31.09603691
1681921413,30070,31.81880951
1681921424,30110,32.03853989
1681921435,30150,32.15935898
1681921437,30160,32.18781281
1681921467,30270,31.79234314
1681921475,30300,31.60017586
1681921496,30380,31.79917717
1681921504,30410,31.57096672
1681921568,30650,31.58885193
1681921578,30690,31.56912994
1681921584,30710,32.48265839
1681921659,30990,32.10824585
1681921720,31220,31.86217308
1681921760,31370,31.571455
1681921781,31450,31.60211754
1681921795,31500,32.1762085
1681921808,31550,32.7321434
1681921819,31590,32.33712006
1681921824,31610,31.55952835
1681921873,31770,31.70573997
1681921921,31950,32.05612946
1681921924,31960,32.19494629
1681921942,32030,31.71201324
1681921950,32060,31.56647491
1681922014,32300,32.11951065
1681922022,32330,31.59472466
1681922041,32400,31.67368889
1681922048,32430,31.98448753
1681922051,32440,31.82449722
1681922056,32460,31.56330681
1681922059,32470,31.87929916
1681922155,32720,31.95858955
1681922197,32810,32.58172607
1681922311,33050,32.1149025
1681922349,33130,31.18837357
1681922415,33270,31.50070763
1681922420,33280,32.02186966
1681922500,33450,31.97515869
1681922646,33740,31.3835392
1681922655,33760,31.78341484
1681922702,33860,31.96279716
1681922783,34030,31.9876461
1681922807,34080,32.10681152
1681922911,34300,31.89385414
1681922925,34330,31.73253822
1681922949,34380,31.33158112
1681923001,34490,31.79638481
1681923010,34510,32.12810898
1681923043,34580,31.63762856
1681923072,34640,31.50097466
1681923105,34710,32.59713364
1681923133,34770,31.73905945
1681923147,34800,31.62107277
1681923228,34970,31.52074432
1681923285,35090,31.46798325
1681923299,35120,31.94154739
1681923332,35190,31.91651917
1681923408,35350,32.07574463
1681923417,35370,31.7449646
1681923454,35430,31.98159218
1681923473,35470,31.88455772
1681923549,35630,32.54610062
1681923629,35800,30.8021431
1681923724,36000,32.17373276
1681923809,36180,32.03974533
1681923818,36200,32.11693954
1681923828,36220,31.48882294
1681923842,36250,31.65235901
1681923856,36280,32.14514542
1681923937,36450,32.41667938
1681923989,36560,31.91095543
1681924055,36700,31.46541595
1681924197,37000,32.38326263
1681924207,37020,31.79593849
1681924328,37260,31.94933128
1681924347,37300,32.01625061
1681924357,37320,31.62814331
1681924385,37380,31.82504654
1681924399,37410,31.8633709
1681924409,37430,31.58950615
1681924451,37520,31.91426468
1681924484,37590,31.52613449
1681924546,37720,31.5915184
1681924584,37800,32.02733994
1681924645,37930,31.56492233
1681924655,37950,31.64727402
1681924669,37980,31.96639824
1681924726,38100,32.75483322
1681924745,38140,32.18625641
1681924768,38190,31.98692894
1681924778,38210,31.8824501
1681924825,38310,31.44352913
1681924844,38350,32.33314896
1681924981,38640,31.50996971
1681925005,38690,32.01923752
1681925038,38760,31.98330879
1681925255,39200,31.67279816
1681925293,39280,31.29863358
1681925326,39350,32.0472641
1681925345,39390,32.32641983
1681925397,39500,31.93191528
1681925425,39560,32.12670135
1681925454,39620,31.96422958
1681925558,39840,31.62207794
1681925610,39950,31.88449287
1681925634,40000,32.11437225
1681925676,40090,31.94905663
1681925681,40100,32.12896347
1681925738,40220,31.95648384
1681925790,40330,32.0206337
1681925804,40360,32.27813339
1681925852,40460,31.72395515
1681926074,40930,32.11795425
1681926098,40980,32.16908646
1681926111,40990,31.20150375
1681926158,41090,31.65318108
1681926504,41820,31.6693325
1681926556,41930,31.83066368
1681926561,41940,31.82345963
1681926570,41960,32.11938095
1681926580,41980,32.12341309
1681926594,42010,31.75406456
1681926599,42020,31.61750221
1681926717,42270,32.18229675
1681926741,42320,32.36196899
1681926755,42350,31.57618141
1681926793,42430,31.65513611
1681926845,42540,32.45821381
1681926887,42630,31.8187027
1681926901,42660,31.84797287
1681926906,42670,31.68663406
1681926977,42820,32.74170685
1681927061,42980,32.15013885
1681927090,43040,31.61573219
1681927109,43080,32.02638626
1681927151,43170,31.96261215
1681927161,43190,32.59800339
1681927203,43280,31.155653
1681927222,43320,31.60893059
1681927251,43380,31.62211609
1681927274,43430,31.76405334
1681927397,43690,32.0953064
1681927440,43780,31.97385597
1681927511,43930,31.54299736
1681927544,44000,31.59191895
1681927572,44060,31.63899612
1681927591,44100,32.15734863
1681927596,44110,32.72259903
1681927686,44300,31.74708176
1681927700,44330,32.42813492
1681927729,44390,31.71571159
1681927871,44690,31.82741356
1681927907,44750,32.37173843
1681927978,44900,32.13998032
1681927988,44920,31.62097168
1681928068,45090,32.36663055
1681928073,45100,31.33208847
1681928163,45290,32.03331375
1681928168,45300,31.76512527
1681928182,45330,31.73211098
1681928224,45420,31.86531639
1681928276,45530,32.39791489
1681928395,45780,32.4510994
1681928409,45810,32.14510727
1681928461,45920,31.61865616
1681928475,45950,31.34125519
1681928485,45970,31.82997322
1681928494,45990,31.88671875
1681928551,46110,32.05575562
1681928631,46280,31.2694912
1681928731,46490,32.04535675
1681928764,46560,32.04110718
1681928810,46640,32.17204285
1681928829,46680,31.41224861
1681928862,46750,31.81893158
1681928867,46760,31.72871017
1681928872,46770,32.39070511
1681928919,46870,31.24171257
1681929042,47130,31.58028221
1681929066,47180,31.61462021
1681929141,47340,32.02578354
1681929194,47450,31.73284531
1681929212,47490,31.83848381
1681929217,47500,32.29826355
1681929255,47580,31.5488472
1681929269,47610,31.76407623
1681929283,47640,31.77344894
1681929298,47670,31.7238102
1681929340,47760,31.90945816
1681929359,47800,31.96735954
1681929392,47870,31.7804985
1681929397,47880,32.15128708
1681929426,47940,31.21321487
1681929454,48000,31.91018105
1681929463,48020,31.4269371
1681929478,48050,32.57026672
1681929643,48400,31.41436958
1681929709,48520,32.28241348
1681929798,48710,32.22538757
1681929808,48730,31.1215744
1681929898,48920,31.27729416
1681929907,48940,31.27603912
1681930002,49140,32.58532333
1681930116,49380,32.03260803
1681930130,49410,32.09178925
1681930191,49540,30.77816582
1681930229,49620,31.76573563
1681930272,49710,31.8646965
1681930286,49740,31.55714035
1681930295,49760,32.11381912
1681930300,49770,31.7776432
1681930366,49910,32.03995132
1681930508,50210,32.15110779
1681930537,50270,32.24771881
1681930551,50300,31.90030289
1681930592,50370,31.55986595
1681930654,50500,32.18785095
1681930663,50520,32.22583389
1681930668,50530,31.75573349
1681930701,50600,32.75765228
1681930786,50780,31.87555695
1681930895,51010,32.23855209
1681930919,51060,31.17717552
1681931013,51260,31.56080437
1681931023,51280,31.47860146
1681931051,51340,32.37866211
1681931174,51600,32.3440094
1681931198,51650,32.36572647
1681931259,51780,32.00058365
1681931278,51820,32.31816864
1681931364,52000,31.16820717
1681931402,52080,31.70435715
1681931519,52310,31.9664402
1681931533,52340,31.5541172
1681931538,52350,32.38156891
1681931557,52390,31.81652451
1681931561,52400,31.23806381
1681931684,52660,31.46439171
1681931793,52890,32.5430603
1681931855,53020,31.29475594
1681931931,53180,32.29956818
1681931983,53290,32.53596497
1681932058,53450,31.83163643
1681932125,53590,32.7305603
1681932129,53600,31.64959145
1681932224,53800,31.96483612
1681932346,54040,31.87938118
1681932355,54060,31.93575859
1681932422,54200,31.86642456
